區議會選區 Constituency,,,點票站 Counting Station,,,候選人編號 Candidiate Number,,,,,
,,,,,,1,2,3,4,5,6
K07,荃灣中心,TSUEN WAN CENTRE,K0701,柴灣角天主教小學,Chai Wan Kok Catholic Primary School,2235,2074,--,--,--,--
K08,荃威,ALLWAY,K0801,中華基督教會基慧小學,CCC Kei Wai Primary School,1540,2298,--,--,--,--
,,,K0802,川龍村公所,Chuen Lung Village Office,237,522,--,--,--,--
K09,麗濤,LAI TO,K0901,荃灣官立小學,Tsuen Wan Government Primary School,3661,1441,--,--,--,--
K10,汀深,TING SHAM,K1001,深井天主教小學,Sham Tseng Catholic Primary School,1606,1799,454,--,--,--
K11,荃灣西,TSUEN WAN WEST,K1101,香港浸信會聯會小學,Hong Kong Baptist Convention Primary School,762,2144,1364,--,--,--
,,,K1102,荃灣聖芳濟中學,"St. Francis Xavier's School, Tsuen Wan",31,318,136,--,--,--
K12,荃灣郊區,TSUEN WAN RURAL,K1201,圓玄學院荃灣西長者鄰舍中心,The Yuen Yuen Institute Tsuen Wan West Elderly Neighbourhood Centre,895,944,--,--,--,--
,,,K1202,澳仙納幼稚園舊址,Former Site of Oceanic Kindergarten,324,370,--,--,--,--
,,,K1203,豪景花園遊樂會,Hongkong Garden Club Ltd.,593,670,--,--,--,--
K13,馬灣,MA WAN,K1301,中華基督教會基慧小學 (馬灣),CCC Kei Wai Primary School (Ma Wan),529,193,1668,1056,--,--
K14,綠楊,LUK YEUNG,K1401,蕙荃體育館,Wai Tsuen Sports Centre,1933,2193,--,--,--,--
K15,梨木樹東,LEI MUK SHUE EAST,K1501,梨木樹社區會堂,Lei Muk Shue Community Hall,2654,1387,--,--,--,--
,,,K1502,河背村村公所,Ho Pui Tsuen Village Office,515,386,--,--,--,--
K16,梨木樹西,LEI MUK SHUE WEST,K1601,梨木樹天主教小學,Lei Muk Shue Catholic Primary School,1385,2895,--,--,--,--
K17,石圍角,SHEK WAI KOK,K1701,香港道教聯合會圓玄學院石圍角小學,HKTA YYI Shek Wai Kok Primary School,2356,1035,--,--,--,--
K18,象石,CHEUNG SHEK,K1801,荃灣信義學校,Tsuen Wan Lutheran School,486,1057,188,--,--,--
L01,屯門市中心,TUEN MUN TOWN CENTRE,L0101,屯門大會堂展覽廳,"Exhibition Gallery, Tuen Mun Town Hall",684,1165,--,--,--,--
,,,L0102,聖公會聖西門呂明才中學,SKH St. Simon's Lui Ming Choi Secondary School,150,352,--,--,--,--
L02,兆置,SIU CHI,L0201,保良局香港道教聯合會圓玄小學,PLK HKTA Yuen Yuen Primary School,2909,1273,190,--,--,--
,,,L0202,仁愛堂劉皇發夫人小學,Yan Oi Tong Madam Lau Wong Fat Primary School,642,259,42,--,--,--
L03,兆翠,SIU TSUI,L0301,深培中學,Semple Memorial Secondary School,1455,114,1165,--,--,--
,,,L0302,青松侯寶垣中學,Ching Chung Hau Po Woon Secondary School,1683,78,1371,--,--,--
L04,安定,ON TING,L0401,安定/友愛社區中心,On Ting/Yau Oi Community Centre,1642,1740,--,--,--,--
,,,L0402,聖公會青山聖彼得堂兆麟苑幼稚園,SKH St. Peter's Church Castle Peak Siu Lun Court Kindergarten,574,643,--,--,--,--
L05,友愛南,YAU OI SOUTH,L0501,順德聯誼總會譚伯羽中學,STFA Tam Pak Yu College,1057,2085,--,--,--,--
L06,友愛北,YAU OI NORTH,L0601,伊斯蘭學校,Islamic Primary School,1299,1319,72,--,--,--
,,,L0602,仁濟醫院何式南小學,YCH Ho Sik Nam Primary School,317,412,20,--,--,--
L08,山景,SHAN KING,L0801,山景社區會堂,Shan King Community Hall,1853,1605,--,--,--,--
L10,興澤,HING TSAK,L1001,大興體育館,Tai Hing Sports Centre,1498,2673,--,--,--,--
L11,新墟,SAN HUI,L1101,仁愛堂胡忠長者地區中心,Yan Oi Tong Woo Chung District Elderly Community Centre,165,86,154,--,--,--
,,,L1102,井財街社區會堂,Tseng Choi Street Community Hall,577,545,945,--,--,--
L12,三聖,SAM SHING,L1201,救世軍三聖邨劉伍英學校,The Salvation Army Sam Shing Chuen Lau Ng Ying School,439,1134,--,--,--,--
,,,L1202,海關訓練學校,Customs and Excise Training School,453,703,--,--,--,--
L13,恆褔,HANFORD,L1301,鐘聲慈善社胡陳金枝中學,Chung Sing Benevolent Society Mrs Aw Boon Haw Secondary School,663,260,13,163,--,--
,,,L1302,入境事務學院,Immigration Service Institute of Training and Development,786,223,54,281,--,--
,,,L1303,保良局西區婦女福利會馮李佩瑤小學,PLK Women's Welfare Club Western District Fung Lee Pui Yiu Primary School,1148,538,29,253,--,--
L14,富新,FU SUN,L1401,新屯門中心社區中心,Community Centre of Sun Tuen Mun Centre,676,179,445,920,2493,172
L15,悅湖,YUET WU,L1501,南屯門官立中學,South Tuen Mun Government Secondary School,2073,1682,--,--,--,--
L16,兆禧,SIU HEI,L1601,世界龍岡學校劉德容紀念小學,LKWFS Lau Tak Yung Memorial Primary School,1488,2021,--,--,--,--
L17,湖景,WU KING,L1701,東華三院辛亥年總理中學,TWGHs Sun Hoi Directors' College,1454,1049,--,--,--,--
L18,蝴蝶,BUTTERFLY,L1801,五邑鄒振猷學校,FDBWA Chow Chin Yau School,1299,483,--,--,--,--
,,,L1802,蝴蝶灣社區中心,Butterfly Bay Community Centre,1206,1466,--,--,--,--
L19,樂翠,LOK TSUI,L1901,香港路德會增城兆霖學校,Lutheran Tsang Shing Siu Leun School,1742,97,367,22,84,1617
,,,L1902,龍鼓灘村公所,Lung Kwu Tan Village Office,271,2,24,3,10,119
L21,新景,SAN KING,L2101,香港紅卍字會屯門卍慈小學,HKRSS Tuen Mun Primary School,1243,2686,--,--,--,--
L22,良景,LEUNG KING,L2201,良景社區中心,Leung King Community Centre,2366,1290,--,--,--,--
L23,田景,TIN KING,L2301,柏立基教育學院校友會何壽基學校,SRBCEPSA Ho Sau Ki School,2295,1321,--,--,--,--
L24,寶田,PO TIN,L2401,保良局志豪小學,PLK Horizon East Primary School,2073,288,--,--,--,--
,,,L2402,屯門紫田村村公所,Tuen Mun Tsz Tin Tsuen Village Office,443,114,--,--,--,--
L25,建生,KIN SANG,L2501,建生社區會堂,Kin Sang Community Hall,1283,2456,--,--,--,--
L26,兆康,SIU HONG,L2601,屯門官立小學,Tuen Mun Government Primary School,2677,80,2267,--,--,--
L27,景峰,PRIME VIEW,L2701,聖公會蒙恩小學,SKH Mung Yan Primary School,2151,878,--,--,--,--
,,,L2702,興德學校,Hing Tak School,819,248,--,--,--,--
L28,富泰,FU TAI,L2801,嶺南大學郭少明伉儷樓,"Simon and Eleanor Kwok Building, Lingnan University",2610,949,--,--,--,--
,,,L2802,福亨村村公所,Fuk Hang Tsuen Village Office,213,95,--,--,--,--
L29,屯門鄉郊,TUEN MUN RURAL,L2901,僑所公立學校,Kiu Saw Public School,274,650,--,--,--,--
,,,L2902,屯門學校,Tuen Mun School,188,524,--,--,--,--
,,,L2903,屯門新村村公所,Tuen Mun San Tsuen Village Office,266,470,--,--,--,--
M01,豐年,FUNG NIN,M0101,元朗商會小學,Yuen Long Merchants Association Primary School,2179,1227,--,--,--,--
M03,南屏,NAM PING,M0301,朗屏社區會堂,Long Ping Community Hall,2598,1249,246,--,--,--
M04,北朗,PEK LONG,M0401,元朗朗屏邨東莞學校,Yuen Long Long Ping Estate Tung Koon Primary School,1653,2313,--,--,--,--
,,,M0402,金巴崙長老會耀道中學,Cumberland Presbyterian Church Yao Dao Secondary School,360,577,--,--,--,--
M05,元朗中心,YUEN LONG CENTRE,M0501,元朗郵政局,Yuen Long Post Office,683,1137,--,--,--,--
,,,M0502,鳳琴街體育館,Fung Kam Street Sports Centre,366,478,--,--,--,--
M06,元龍,YUEN LUNG,M0601,中華基督教會基元中學,CCC Kei Yuen College,2651,362,--,--,--,--
M07,鳳翔,FUNG CHEUNG,M0701,佛教榮茵學校,Buddhist Wing Yan School,2173,1425,163,--,--,--
M13,屏山北,PING SHAN NORTH,M1301,橫洲村公所,Wang Chau Village Office,614,1047,--,--,--,--
,,,M1302,前沙江公立聯益學校,Former Sha Kong Public Luen Yick School,324,297,--,--,--,--
M14,廈村,HA TSUEN,M1401,基督教香港信義會榮真堂,ELCHK Wing Jan Lutheran Church,29,388,--,--,--,--
,,,M1402,錫降圍村公所,Sik Kong Wai Village Office,125,1248,--,--,--,--
,,,M1403,鄰舍輔導會屯門/元朗鄉郊中心,The Neighbourhood Advice-Action Council Tuen Mun / Yuen Long Rural Village Centre,222,974,--,--,--,--
M15,天盛,TIN SHING,M1501,伊利沙伯中學舊生會小學分校,Queen Elizabeth School Old Students' Association Branch Primary School,2689,1217,--,--,--,--
,,,M1502,天主教培聖中學,Pui Shing Catholic Secondary School,1013,590,--,--,--,--
M16,瑞愛,SHUI OI,M1601,天瑞社區中心,Tin Shui Community Centre,1434,3136,--,--,--,--
M17,瑞華,SHUI WAH,M1701,東華三院姚達之紀念小學(元朗),TWGHs Yiu Dak Chi Memorial Primary School (Yuen Long),1634,1941,--,--,--,--
M18,頌華,CHUNG WAH,M1801,賽馬會毅智書院,The Jockey Club Eduyoung College,901,642,--,--,--,--
,,,M1802,東華三院李東海小學,TWGHs Leo Tung-hai Lee Primary School,874,323,--,--,--,--
M20,富恩,FU YAN,M2001,香港普通話研習社科技創意小學,Xianggang Putonghua Yanxishe Primary School of Science and Creativity,1339,2819,--,--,--,--
M21,逸澤,YAT CHAK,M2101,宣道會葉紹蔭紀念小學,Christian Alliance S Y Yeh Memorial Primary School,2288,496,1468,--,--,--
M22,天恒,TIN HENG,M2201,順德聯誼總會伍冕端小學,STFA Wu Mien Tuen Primary School,1317,846,2749,--,--,--
M24,晴景,CHING KING,M2401,天晴社區會堂,Tin Ching Community Hall,2423,632,--,--,--,--
M25,嘉湖北,KINGSWOOD NORTH,M2501,香港管理專業協會羅桂祥中學,The Hong Kong Management Association K S Lo College,2775,1747,--,--,--,--
M26,慈祐,TSZ YAU,M2601,道慈佛社楊日霖紀念學校,BTCFS Yeung Yat Lam Memorial School,2438,1345,--,--,--,--
M27,耀祐,YIU YAU,M2701,天水圍官立中學,Tin Shui Wai Government Secondary School,1584,1255,--,--,--,--
M28,天耀,TIN YIU,M2801,天耀社區中心,Tin Yiu Community Centre,1713,1552,--,--,--,--
M29,嘉湖南,KINGSWOOD SOUTH,M2901,職業訓練局青年學院(天水圍),"Vocational Training Council,Youth College (Tin Shui Wai)",1341,1618,--,--,--,--
,,,M2902,天水圍官立小學,Tin Shui Wai Government Primary School,383,573,--,--,--,--
M30,頌栢,CHUNG PAK,M3001,香港青年協會李兆基小學,HKFYG Lee Shau Kee Primary School,2078,1380,--,--,--,--
M31,錦綉花園,FAIRVIEW PARK,M3101,港澳信義會黃陳淑英紀念學校,HKMLC Wong Chan Sook Ying Memorial School,1826,144,1596,--,--,--
M32,新田,SAN TIN,M3201,惇裕學校,Tun Yu School,944,487,--,--,--,--
,,,M3202,位於下竹園路與錦壆路交界對出空地的臨時辦公室,Temporary Office at the Open Space in front of the intersection of Ha Chuk Yuen Road and Kam Pok Road,1342,706,--,--,--,--
M34,八鄉北,PAT HEUNG NORTH,M3401,台山公立學校 (舊址),Toi Shan Public School (Former),1471,1806,--,--,--,--
M35,八鄉南,PAT HEUNG SOUTH,M3501,八鄉中心小學 (石湖塘),Pat Heung Central Primary School (Shek Wu Tong),1482,2872,--,--,--,--
N01,聯和墟,LUEN WO HUI,N0101,香海正覺蓮社佛教馬錦燦紀念英文中學,HHCKLA Buddhist Ma Kam Chan Memorial English Secondary School,1981,2640,413,--,--,--
N02,粉嶺市,FANLING TOWN,N0201,粉嶺公立學校,Fanling Public School,262,892,--,--,--,--
,,,N0202,明愛粉嶺陳震夏中學,Caritas Fanling Chan Chun Ha Secondary School,564,511,--,--,--,--
N03,祥華,CHEUNG WAH,N0301,祥華社區會堂,Cheung Wah Community Hall,1569,1814,1710,178,--,--
N05,華明,WAH MING,N0501,鳳溪廖潤琛紀念學校,Fung Kai Liu Yun Sum Memorial School,1814,2660,--,--,--,--
N08,粉嶺南,FANLING SOUTH,N0801,粉嶺官立中學,Fanling Government Secondary School,1222,570,--,--,--,--
,,,N0802,田家炳中學,Tin Ka Ping Secondary School,602,422,--,--,--,--
N10,御太,YU TAI,N1001,風采中學 (教育評議會主辦),Elegantia College (Sponsored by Education Convergence),1922,326,672,--,--,--
N11,上水鄉郊,SHEUNG SHUI RURAL,N1101,金錢村何東學校,Kam Tsin Village Ho Tung School,306,1126,--,--,--,--
,,,N1102,蕉徑村公所,Tsiu Keng Village Office,714,395,--,--,--,--
,,,N1103,古洞公立愛華學校,Ku Tung Public Oi Wah School,773,950,--,--,--,--
,,,N1104,坑頭村公所,Hang Tau Village Office,681,463,--,--,--,--
N12,彩園,CHOI YUEN,N1201,彩園會堂,Choi Yuen Estate Hall,2481,1975,--,--,--,--
N13,石湖墟,SHEK WU HUI,N1301,龍琛路體育館,Lung Sum Avenue Sports Centre,14,213,273,--,--,--
,,,N1302,聖公會陳融中學,SKH Chan Young Secondary School,44,1066,1424,--,--,--
,,,N1303,香海正覺蓮社佛教陳式宏學校,HHCKLA Buddhist Chan Shi Wan Primary School,32,481,693,--,--,--
N14,天平西,TIN PING WEST,N1401,石湖墟公立學校,Shek Wu Hui Public School,1445,2219,797,--,--,--
N15,鳳翠,FUNG TSUI,N1501,鳳溪廖萬石堂中學,Fung Kai Liu Man Shek Tong Secondary School,981,1460,1649,--,--,--
N16,沙打,SHA TA,N1601,打鼓嶺嶺英公立學校,Ta Ku Ling Ling Ying Public School,186,171,139,5,--,--
,,,N1602,International College Hong Kong,International College Hong Kong,462,402,78,23,--,--
,,,N1604,沙頭角中心小學,Sha Tau Kok Central Primary School,1471,395,133,74,--,--
,,,N1606,打鼓嶺社區會堂,Ta Kwu Ling Community Hall,188,136,301,9,--,--
N17,天平東,TIN PING EAST,N1701,天平體育館,Tin Ping Sports Centre,1139,1039,475,--,--,--
,,,N1702,聯和墟社區會堂,Luen Wo Hui Community Hall,587,528,128,--,--,--
P01,大埔墟,TAI PO HUI,P0101,大埔社區中心 (展覽廳),Tai Po Community Centre (Exhibition Hall),1096,865,--,--,--,--
P02,大埔中,TAI PO CENTRAL,P0201,大埔官立中學,Tai Po Government Secondary School,1444,1866,384,--,--,--
P03,頌汀,CHUNG TING,P0301,新界婦孺福利會梁省德學校,NTW&JWAL Leung Sing Tak Primary School,803,643,--,--,--,--
,,,P0302,香港紅卍字會大埔卍慈中學,HKRSS Tai Po Secondary School,1007,1238,--,--,--,--
P04,大元,TAI YUEN,P0401,大元社區會堂,Tai Yuen Community Hall,1334,2017,--,--,--,--
P05,富亨,FU HENG,P0501,富亨鄰里社區中心,Fu Heng Neighbourhood Community Centre,1417,3716,--,--,--,--
P06,怡富,YEE FU,P0601,富善社區會堂,Fu Shin Community Hall,1607,4148,--,--,--,--
P07,富明新,FU MING SUN,P0701,香港道教聯合會圓玄學院第二中學,HKTA The Yuen Yuen Institute No. 2 Secondary School,3147,1122,--,--,--,--
P08,廣福及寶湖,KWONG FUK & PLOVER COVE,P0801,廣福社區會堂,Kwong Fuk Community Hall,2004,281,612,--,--,--
,,,P0802,大埔崇德黃建常紀念學校,Sung Tak Wong Kin Sheung Memorial School,244,82,167,--,--,--
P09,宏福,WANG FUK,P0901,大埔浸信會公立學校,Tai Po Baptist Public School,2120,1570,--,--,--,--
P11,運頭塘,WAN TAU TONG,P1101,運頭塘鄰里社區中心,Wan Tau Tong Neighbourhood Community Centre,2123,2711,--,--,--,--
P12,新富,SAN FU,P1201,羅定邦中學,Law Ting Pong Secondary School,1742,1842,108,--,--,--
,,,P1202,挪威國際學校,Norwegian International School,322,605,21,--,--,--
P13,林村谷,LAM TSUEN VALLEY,P1301,南華莆村崇真堂,Nam Wah Po Village Tsung Tsin Church,14,55,285,--,--,--
,,,P1302,獅子會林村青年中心,Lions Club Lam Tsuen Youth Centre,197,1432,1033,--,--,--
,,,P1303,大埔頭水圍村公所,Tai Po Tau Shui Wai Village Office,131,501,195,--,--,--
,,,P1304,泰亨公立學校,Tai Hang Public School,32,480,231,--,--,--
P14,寶雅,PO NGA,P1401,神召會康樂中學,Assembly of God Hebron Secondary School,2683,2292,--,--,--,--
P16,舊墟及太湖,OLD MARKET & SERENITY,P1601,太和鄰里社區中心,Tai Wo Neighbourhood Community Centre,2170,1699,--,--,--,--
P17,康樂園,HONG LOK YUEN,P1701,大埔三育中學,Tai Po Sam Yuk Secondary School,321,703,--,--,--,--
,,,P1702,九龍坑公立育賢學校,Kau Lung Hang Public Yuk Yin School,278,520,--,--,--,--
,,,P1703,康樂園服務處會議室,Conference Room of Hong Lok Yuen Management Services Office,263,305,--,--,--,--
,,,P1704,孔教學院大成何郭佩珍中學,Confucian Tai Shing Ho Kwok Pui Chun College,270,252,--,--,--,--
P19,西貢北,SAI KUNG NORTH,P1901,香港浸信會神學院,Hong Kong Baptist Theological Seminary,932,985,--,--,--,--
,,,P1903,塔門青年會,Tap Mun Youth Club,92,19,--,--,--,--
Q01,西貢市中心,SAI KUNG CENTRAL,Q0101,西貢賽馬會大會堂,The Sai Kung Jockey Club Town Hall,640,1151,--,--,--,--
,,,Q0102,萬宜漁村公共會堂,Man Yee Fishermen Village Community Hall,203,572,--,--,--,--
Q02,白沙灣,PAK SHA WAN,Q0201,前西貢中心小學,Ex-Sai Kung Central Primary School,1109,1539,--,--,--,--
Q04,坑口東,HANG HAU EAST,Q0401,港澳信義會小學,Hong Kong and Macau Lutheran Church Primary School,810,962,--,--,--,--
Q05,坑口西,HANG HAU WEST,Q0501,新界西貢坑口區鄭植之中學,"Cheng Chek Chee Secondary School of Sai Kung & Hang Hau District, N.T.",662,964,--,--,--,--
,,,Q0502,寶林體育館,Po Lam Sports Centre,365,433,--,--,--,--
Q06,寶怡,PO YEE,Q0601,播道書院,Evangel College,2361,1838,--,--,--,--
Q07,維景,WAI KING,Q0701,香港基督教女青年會將軍澳綜合社會服務處,HKYWCA Tseung Kwan O Integrated Social Service Centre,357,3014,--,--,--,--
Q08,都善,DO SHIN,Q0801,香港知專設計學院及香港專業教育學院(李惠利),Hong Kong Design Institute & Hong Kong Institute of Vocational Education (Lee Wai Lee),572,617,531,1216,--,--
Q09,健明,KIN MING,Q0901,香海正覺蓮社佛教正覺中學,HHCKLA Buddhist Ching Kok Secondary School,710,3719,--,--,--,--
Q10,彩健,CHOI KIN,Q1001,寶覺中學,Po Kok Secondary School,1791,2873,--,--,--,--
Q11,澳唐,O TONG,Q1101,博愛醫院八十週年鄧英喜中學,POH 80th Anniversary Tang Ying Hei College,1314,1831,1036,--,--,--
Q12,富君,FU KWAN,Q1201,仁濟醫院王華湘中學,YCH Wong Wha San Secondary School,2087,1671,43,--,--,--
Q13,軍寶,KWAN PO,Q1301,將軍澳運動場,Tseung Kwan O Sports Ground,534,480,583,487,784,--
Q14,南安,NAM ON,Q1401,保良局馮晴紀念小學,PLK Fung Ching Memorial Primary School,3359,985,--,--,--,--
Q15,康景,HONG KING,Q1501,翠林體育館,Tsui Lam Sports Centre,373,593,--,--,--,--
,,,Q1502,景嶺書院,King Ling College,899,768,--,--,--,--
,,,Q1503,基督教聖約教會司務道幼稚園暨幼兒園,Mission Covenant Church Sister Annie's Kindergarten and Nursery,1174,1913,--,--,--,--
Q16,翠林,TSUI LAM,Q1601,翠林社區會堂,Tsui Lam Community Hall,1396,3051,--,--,--,--
Q17,寶林,PO LAM,Q1701,迦密主恩中學,Carmel Divine Grace Foundation Secondary School,2446,779,913,--,--,--
Q18,欣英,YAN YING,Q1801,寶林邨文娛活動會堂,Po Lam Multipurpose Hall,1007,3283,1229,--,--,--
Q19,運亨,WAN HANG,Q1901,順德聯誼總會梁潔華小學,STFA Leung Kit Wah Primary School,1272,1752,73,--,--,--
,,,Q1902,東華三院王余家潔紀念小學,TWGHs Wong Yee Jar Jat Memorial Primary School,1041,1352,44,--,--,--
Q20,景林,KING LAM,Q2001,香海正覺蓮社佛教黃藻森學校,HHCKLA Buddhist Wong Cho Sum School,2878,2707,--,--,--,--
Q21,厚德,HAU TAK,Q2101,天主教鳴遠中學,Catholic Ming Yuen Secondary School,2679,2261,--,--,--,--
Q22,富藍,FU NAM,Q2201,坑口社區會堂,Hang Hau Community Hall,2113,2207,--,--,--,--
Q24,尚德,SHEUNG TAK,Q2401,尚德社區會堂,Sheung Tak Community Hall,650,2978,1662,--,--,--
Q25,廣明,KWONG MING,Q2501,香港道教聯合會圓玄學院第三中學,HKTA The Yuen Yuen Institute No.3 Secondary School,777,1055,3373,--,--,--
Q26,環保北,WAN PO NORTH,Q2601,將軍澳官立小學,Tseung Kwan O Government Primary School,136,1153,--,--,--,--
,,,Q2602,康城社區會堂,Lohas Park Community Hall,529,1514,--,--,--,--
Q27,環保南,WAN PO SOUTH,Q2701,香港青年協會康城青年空間,The Hong Kong Federation of Youth Groups LOHAS Youth S.P.O.T.,2188,539,--,--,--,--
R01,沙田市中心,SHA TIN TOWN CENTRE,R0101,沙田大會堂,Sha Tin Town Hall,1023,2299,--,--,--,--
,,,R0102,沙田官立中學,Sha Tin Government Secondary School,305,460,--,--,--,--
R02,瀝源,LEK YUEN,R0201,瀝源社區會堂,Lek Yuen Community Hall,1799,1406,--,--,--,--
R03,禾輋邨,WO CHE ESTATE,R0301,禾輋社區會堂,Wo Che Community Hall,2495,1602,1185,--,--,--
R06,王屋,WONG UK,R0601,慈航學校,Chi Hong Primary School,1032,1116,--,--,--,--
,,,R0602,富豪花園商場一樓富豪橋有蓋走廊,Belair Gardens Shopping Arcade 1/F Footbridge,904,995,--,--,--,--
R07,沙角,SHA KOK,R0701,佛教覺光法師中學,Buddhist Kok Kwong Secondary School,2627,2437,--,--,--,--
R08,博康,POK HONG,R0801,博康社區會堂,Pok Hong Community Hall,2859,2666,--,--,--,--
R09,乙明,JAT MIN,R0901,沙田圍胡素貞博士紀念學校,Sha Tin Wai Dr. Catherine F. Woo Memorial School,475,994,3004,--,--,--
,,,R0902,香港女童軍總會博康營地,The Hong Kong Girl Guides Association Pok Hong Camp Site,66,56,217,--,--,--
R10,秦豐,CHUN FUNG,R1001,秦石社區會堂,Chun Shek Community Hall,1578,3724,--,--,--,--
R11,新田圍,SUN TIN WAI,R1101,新田圍社區會堂,Sun Tin Wai Community Hall,1052,1777,--,--,--,--
,,,R1102,五育中學,Ng Yuk Secondary School,436,678,--,--,--,--
R12,翠田,CHUI TIN,R1201,九龍城浸信會禧年 (恩平) 小學,Kowloon City Baptist Church Hay Nien (Yan Ping) Primary School,2048,1675,--,--,--,--
R13,顯嘉,HIN KA,R1301,香港中文大學校友會聯會張煊昌學校,CUHK FAA Thomas Cheung School,803,704,--,--,--,--
,,,R1302,顯徑體育館,Hin Keng Sports Centre,1670,1009,--,--,--,--
R14,下城門,LOWER SHING MUN,R1401,美田社區會堂,Mei Tin Community Hall,1209,987,1175,--,--,--
R15,雲城,WAN SHING,R1501,東莞工商總會劉百樂中學,GCCITKD Lau Pak Lok Secondary School,626,605,1050,--,--,--
,,,R1502,保良局朱敬文中學,PLK C.W. Chu College,336,322,939,--,--,--
R16,徑口,KENG HAU,R1601,顯徑鄰里社區中心,Hin Keng Neighbourhood Community Centre,2311,1694,--,--,--,--
,,,R1602,才俊學校,Choi Jun School,515,450,--,--,--,--
R18,翠嘉,CHUI KA,R1801,東莞工商總會張煌偉小學,GCCITKD Cheong Wong Wai Primary School,1029,1068,2433,--,--,--
R19,大圍,TAI WAI,R1901,佛教黃允畋中學,Buddhist Wong Wan Tin College,3340,1740,--,--,--,--
,,,R1902,大圍村村公所,Tai Wai Village Office,309,347,--,--,--,--
R20,松田,CHUNG TIN,R2001,美林體育館,Mei Lam Sports Centre,1491,580,1144,--,--,--
,,,R2002,基督教香港信義會沙田信義幼稚園,ELCHK Shatin Lutheran Kindergarten,140,82,124,--,--,--
R21,穗禾,SUI WO,R2101,保良局蕭漢森小學,PLK Siu Hon Sum Primary School,1984,2160,101,--,--,--
R22,火炭,FO TAN,R2201,賽馬會體藝中學,Jockey Club Ti-I College,1905,1250,--,--,--,--
R23,駿馬,CHUN MA,R2301,香港中文大學富爾敦樓,"John Fulton Centre, The Chinese University of Hong Kong",186,319,22,--,--,--
,,,R2302,仁愛堂香港台山商會長者活動中心,Yan Oi Tong H.K. Toi Shan Association Elderly Centre,983,1339,126,--,--,--
R24,頌安,CHUNG ON,R2401,宣道會台山陳元喜小學,Christian Alliance Toi Shan H. C. Chan Primary School,2376,2506,--,--,--,--
R25,錦濤,KAM TO,R2501,香港中文大學校友會聯會陳震夏中學,CUHKFAA Chan Chun Ha Secondary School,2455,2592,--,--,--,--
R26,馬鞍山市中心,MA ON SHAN TOWN CENTRE,R2601,香港道教聯合會純陽小學,Hong Kong Taoist Association Shun Yeung Primary School,2391,1106,--,--,--,--
R27,利安,LEE ON,R2701,馬鞍山靈糧小學,Ma On Shan Ling Liang Primary School,3938,33,1767,--,--,--
R28,富龍,FU LUNG,R2801,明愛馬鞍山中學,Caritas Ma On Shan Secondary School,3027,2730,--,--,--,--
R29,烏溪沙,WU KAI SHA,R2901,利安社區會堂,Lee On Community Hall,1567,1121,--,--,--,--
R30,錦英,KAM YING,R3001,吳氏宗親總會泰伯紀念學校,Ng Clan's Association Tai Pak Memorial School,790,749,857,1111,--,--
,,,R3002,東華三院黃鳳翎中學,TWGHs Wong Fung Ling College,652,139,755,65,--,--
R31,耀安,YIU ON,R3101,保良局莊啟程小學,PLK Chong Kee Ting Primary School,3021,2071,--,--,--,--
R32,恒安,HENG ON,R3201,馬鞍山聖若瑟小學,Ma On Shan St. Joseph's Primary School,1531,2400,--,--,--,--
,,,R3202,恒安社區中心,Heng On Estate Community Centre,1175,1340,--,--,--,--
R33,鞍泰,ON TAI,R3301,德信中學,Tak Sun Secondary School,3657,2647,--,--,--,--
R34,大水坑,TAI SHUI HANG,R3401,九龍城浸信會禧年小學,Kowloon City Baptist Church Hay Nien Primary School,2511,1975,--,--,--,--
,,,R3402,基督教香港信義會馬鞍山信義學校,The ELCHK Ma On Shan Lutheran Primary School,453,654,--,--,--,--
R36,碧湖,BIK WOO,R3601,路德會梁鉅鏐小學,Leung Kui Kau Lutheran Primary School,1342,1396,1054,--,--,--
,,,R3602,香港浸會大學附屬學校王錦輝中小學,Hong Kong Baptist University Affiliated School Wong Kam Fai Secondary and Primary School,148,956,97,--,--,--
R37,廣康,KWONG HONG,R3701,沙田循道衛理小學,Shatin Methodist Primary School,1028,2034,1828,--,--,--
R38,廣源,KWONG YUEN,R3801,廣源社區會堂,Kwong Yuen Community Hall,2525,1553,--,--,--,--
S01,葵興,KWAI HING,S0101,中華傳道會許大同學校,CNEC Ta Tung School,2931,1139,--,--,--,--
S02,葵盛東邨,KWAI SHING EAST ESTATE,S0201,基督教香港信義會葵盛信義學校,ELCHK Kwai Shing Lutheran Primary School,75,1833,677,3212,--,--
S03,上大窩口,UPPER TAI WO HAU,S0301,仁愛堂彭鴻樟幼稚園,Yan Oi Tong Pang Hung Cheung Kindergarten,1589,2217,--,--,--,--
S04,下大窩口,LOWER TAI WO HAU,S0401,佛教林炳炎紀念學校(香港佛教聯合會主辦),Buddhist Lam Bing Yim Memorial School (Sponsored by the Hong Kong Buddhist Association),3098,1369,--,--,--,--
S05,葵涌邨北,KWAI CHUNG ESTATE NORTH,S0501,中華基督教會全完中學,CCC Chuen Yuen College,2195,1617,--,--,--,--
S06,葵涌邨南,KWAI CHUNG ESTATE SOUTH,S0601,中華基督教會全完幼稚園,CCC Chuen Yuen Kindergarten,1299,1408,--,--,--,--
,,,S0602,聖公會仁立小學,SKH Yan Laap Primary School,491,912,--,--,--,--
