,,,候選人名單編號 Candidiates List Number,,,,,,,,,,,,,,,,,,,
L0201,保良局香港道教聯合會圓玄小學,PLK HKTA Yuen Yuen Primary School,81,173,686,442,10,66,688,416,66,117,257,38,57,140,367,960,,,,4564
L0301,深培中學,Semple Memorial Secondary School,57,156,292,277,12,60,447,167,41,64,206,22,37,115,289,677,,,,2919
L0302,青松侯寶垣中學,Ching Chung Hau Po Woon Secondary School,18,58,134,109,4,16,265,124,22,41,98,12,5,70,84,174,,,,1234
L0401,安定/友愛社區中心,On Ting/Yau Oi Community Centre,66,341,295,418,31,100,571,217,72,101,320,41,69,133,541,943,,,,4259
L0402,聖公會青山聖彼得堂兆麟苑幼稚園,SKH St. Peter's Church Castle Peak Siu Lun Court Kindergarten,22,92,168,137,1,32,190,99,26,40,107,16,27,48,142,409,,,,1556
L0501,順德聯誼總會譚伯羽中學,STFA Tam Pak Yu College,56,168,167,426,6,95,362,132,91,56,176,21,69,74,530,1075,,,,3504
L0601,伊斯蘭學校,Islamic Primary School,43,164,157,316,14,46,308,147,98,56,191,21,46,68,430,728,,,,2833
L0602,仁濟醫院何式南小學,YCH Ho Sik Nam Primary School,49,233,251,284,11,52,488,253,67,86,237,27,18,102,292,681,,,,3131
L0701,馬錦明慈善基金馬可賓紀念中學,Stewards MKMCF Ma Ko Pan Memorial College,82,300,440,390,22,108,954,407,116,152,347,67,35,152,467,714,,,,4753
L0801,山景社區會堂,Shan King Community Hall,71,199,188,364,11,91,327,146,63,35,213,33,135,71,428,640,,,,3015
L0901,大興社區會堂,Tai Hing Community Hall,50,800,188,251,10,59,202,124,35,24,107,13,26,52,262,389,,,,2592
L0902,仁愛堂陳黃淑芳紀念中學,Yan Oi Tong Chan Wong Suk Fong Memorial Secondary School,36,238,131,271,7,59,273,117,57,39,162,16,76,69,283,399,,,,2233
L1001,大興體育館,Tai Hing Sports Centre,57,1149,527,395,15,106,564,262,44,90,236,39,29,83,386,541,,,,4523
L1101,中華基督教會譚李麗芬紀念中學,CCC Tam Lee Lai Fun Memorial Secondary School,35,62,128,84,9,15,140,104,53,28,58,9,14,11,60,189,,,,999
L1102,井財街社區會堂,Tseng Choi Street Community Hall,50,84,166,176,12,35,281,122,309,48,101,22,91,45,146,297,,,,1985
L1201,救世軍三聖邨劉伍英學校,The Salvation Army Sam Shing Chuen Lau Ng Ying School,77,106,296,265,10,52,436,214,72,84,209,34,337,102,208,449,,,,2951
L1202,海關訓練學校,Customs and Excise Training School,25,18,54,77,2,15,198,120,81,26,46,29,59,52,33,76,,,,911
L1301,入境事務學院,Immigration Service Institute of Training and Development,37,41,139,97,4,22,287,128,32,30,70,22,24,70,53,190,,,,1246
L1302,保良局西區婦女福利會馮李佩瑤小學,PLK Women's Welfare Club (WD) Fung Lee Pui Yiu Primary School,74,80,325,251,5,45,648,361,117,107,180,84,236,148,158,396,,,,3215
L1401,新屯門中心社區中心,Community Centre of Sun Tuen Mun Centre,99,190,268,458,7,90,818,344,110,92,373,61,33,172,412,927,,,,4454
L1501,南屯門官立中學,South Tuen Mun Government Secondary School,374,209,246,371,10,81,673,260,65,120,294,30,161,168,350,765,,,,4177
L1601,世界龍岡學校劉德容紀念小學,LKWFS Lau Tak Yung Memorial Primary School,76,210,493,462,13,83,999,348,119,148,325,59,43,221,411,959,,,,4969
L1701,東華三院辛亥年總理中學,TWGHs Sun Hoi Directors' College,135,184,169,332,7,59,383,130,70,52,193,17,82,87,320,836,,,,3056
L1801,五邑鄒振猷學校,FDBWA Chow Chin Yau School,39,135,152,213,5,61,366,135,83,48,151,21,28,90,155,328,,,,2010
L1802,蝴蝶灣社區中心,Butterfly Bay Community Centre,92,234,164,247,9,54,210,148,58,38,114,20,39,60,288,911,,,,2686
L1901,香港路德會增城兆霖學校,Lutheran Tsang Shing Siu Leun School,73,87,408,203,6,35,436,180,57,91,111,36,30,124,187,520,,,,2584
L1902,龍鼓灘村公所,Lung Kwu Tan Village Office,1,7,13,33,1,6,37,25,12,12,14,5,100,14,26,37,,,,343
L2001,中華基督教會何福堂小學,CCC Hoh Fuk Tong Primary School,69,186,270,469,12,77,682,348,77,84,342,32,52,162,430,1374,,,,4666
L2002,仁濟醫院第二中學,YCH No.2 Secondary School,14,8,32,38,0,3,32,11,21,5,14,3,178,10,13,26,,,,408
L2101,香港紅卍字會屯門卍慈小學,HKRSS Tuen Mun Primary School,81,248,1071,390,22,81,524,190,48,103,229,37,74,77,381,705,,,,4261
L2201,良景社區中心,Leung King Community Centre,78,231,444,458,23,100,546,178,52,74,253,25,97,105,466,1206,,,,4336
L2301,柏立基教育學院校友會何壽基學校,SRBCEPSA Ho Sau Ki School,82,897,439,498,20,114,596,224,53,104,331,31,48,110,596,634,,,,4777
L2401,基督教香港信義會屯門青少年綜合服務中心,ELCHK Tuen Mun Integrated Youth Service Centre,44,174,119,249,15,60,219,117,38,51,113,23,493,68,240,707,,,,2730
L2402,屯門紫田村村公所,Tuen Mun Tsz Tin Tsuen Village Office,20,21,132,52,1,9,98,44,72,24,31,8,168,17,36,115,,,,848
L2501,建生社區會堂,Kin Sang Community Hall,127,213,399,437,14,117,726,280,55,116,371,44,67,124,498,1198,,,,4786
L2601,屯門官立小學,Tuen Mun Government Primary School,123,157,1395,350,12,40,573,261,61,102,184,29,18,51,211,1071,,,,4638
L2701,聖公會蒙恩小學,SKH Mung Yan Primary School,59,184,928,369,12,79,629,363,116,129,226,50,23,67,253,520,,,,4007
L2702,興德學校,Hing Tak School,21,79,301,143,4,32,253,124,28,59,111,13,5,44,102,152,,,,1471
L2801,嶺南大學郭少明伉儷樓,"Simon and Eleanor Kwok Building, Lingnan University",116,1360,616,470,14,95,383,142,49,51,146,28,215,67,391,415,,,,4558
L2901,僑所公立學校,Kiu Saw Public School,61,35,85,117,2,33,177,70,74,23,70,13,391,43,94,95,,,,1383
L2902,屯門學校,Tuen Mun School,19,43,70,74,2,19,131,56,32,33,45,9,218,24,63,100,,,,938
L2903,屯門新村村公所,Tuen Mun San Tsuen Village Office,34,78,129,150,4,32,297,110,95,65,113,24,126,43,114,152,,,,1566
,,,,,,,,,,,,,,,,,,,,,,
M,元朗區,YUEN LONG DISTRICT,,,,,,,,,,,,,,,,,,,,
M0101,元朗商會小學,Yuen Long Merchants Association Primary School,1246,136,323,347,154,99,562,220,80,112,205,40,140,110,469,131,,,,4374
M0102,明愛元朗陳震夏中學,Caritas Yuen Long Chan Chun Ha Secondary School,269,27,84,69,37,31,176,80,37,33,66,7,179,26,108,44,,,,1273
M0201,基督教香港信義會元朗信義書院,ELCHK Yuen Long Lutheran College,1061,148,326,368,84,89,465,207,83,103,179,28,136,92,428,163,,,,3960
M0202,元朗公立中學校友會小學,YLPMS Alumni Association Primary School,303,72,177,155,30,39,447,236,65,96,124,21,60,85,152,143,,,,2205
M0301,朗屏社區會堂,Long Ping Community Hall,627,174,1026,339,27,95,267,160,33,70,165,23,84,35,436,160,,,,3721
M0401,元朗朗屏邨東莞學校,Yuen Long Long Ping Estate Tung Koon Primary School,860,155,738,371,22,86,294,134,25,70,192,17,82,45,167,460,,,,3718
M0501,元朗郵政局,Yuen Long Post Office,461,53,111,148,67,47,229,108,33,38,74,29,198,43,188,88,,,,1915
M0502,鳳琴街體育館,Fung Kam Street Sports Centre,596,93,176,234,337,69,495,198,50,107,164,29,83,88,291,157,,,,3167
M0601,中華基督教會基元中學,CCC Kei Yuen College,387,87,158,202,285,60,589,307,38,105,180,44,29,97,235,155,,,,2958
M0701,元朗官立小學,Yuen Long Government Primary School,54,13,14,33,18,9,33,24,9,7,12,2,139,11,42,28,,,,448
M0702,鐘聲學校,Chung Sing School,313,65,127,215,66,52,389,183,75,87,155,20,929,79,233,100,,,,3088
M0703,佛教榮茵學校,Buddhist Wing Yan School,480,58,221,245,201,50,590,268,70,135,198,33,285,97,251,167,,,,3349
M0801,瑋琦文化教育機構殷翠幼稚園,Vichy Educational & Cultural Organisation Jade Kindergarten,217,37,77,107,17,44,190,70,121,35,55,7,290,24,107,52,,,,1450
M0802,香港童軍總會蔡志明聯光童軍中心,Scout Association of Hong Kong Choi Chee Ming Luen Kwong Scout Centre,287,58,112,181,36,39,283,106,95,52,96,30,674,40,192,101,,,,2382
M0901,新界神召會元朗惠群天地,New Territories Assemblies of God Church Yuen Long Wai Kwan Land,531,35,82,117,14,25,214,120,56,45,65,11,60,45,93,50,,,,1563
M0902,嗇色園主辦可道中學,Ho Dao College (Sponsored by Sik Sik Yuen),368,76,136,221,15,46,384,167,59,76,166,29,123,70,179,116,,,,2231
M1001,橫洲村公所,Wang Chau Village Office,473,33,92,136,10,22,182,79,61,26,81,9,58,29,133,72,,,,1496
M1002,沙江公立聯益學校,Sha Kong Public Luen Yick School,188,9,19,34,10,14,60,21,39,5,14,4,169,6,18,16,,,,626
M1003,屏山天水圍體育館,Ping Shan Tin Shui Wai Sports Centre,358,52,77,146,11,39,190,83,232,47,71,12,158,26,88,57,,,,1647
M1101,榮真學校 (幼稚園),Wing Jan School (Kindergarten),96,2,10,22,6,1,24,8,2,6,16,2,186,4,17,3,,,,405
M1102,錫降圍村公所,Sik Kong Wai Village Office,87,22,46,77,6,26,91,41,22,17,43,7,987,13,60,28,,,,1573
M1103,鄰舍輔導會屯門/元朗鄉郊中心,The Neighbourhood Advice-Action Council Tuen Mun / Yuen Long Rural Village Centre,89,26,51,49,5,14,120,53,32,23,60,6,484,18,61,27,,,,1118
M1201,伊利沙伯中學舊生會小學分校,QE School Old Students' Association Branch Primary School,840,218,218,397,28,79,581,383,86,122,360,30,40,131,476,196,,,,4185
M1202,天主教培聖中學,Pui Shing Catholic Secondary School,378,91,105,164,12,37,251,157,30,57,148,14,17,52,180,72,,,,1765
M1301,天瑞社區中心,Tin Shui Community Centre,1210,221,252,523,43,108,465,267,79,94,240,25,60,97,610,192,,,,4486
M1401,東華三院姚達之紀念小學,TWGHs Yiu Dak Chi Memorial Primary School,833,147,151,415,16,111,342,241,46,54,184,22,55,79,464,124,,,,3284
M1501,賽馬會毅智書院,The Jockey Club Eduyoung College,405,114,139,258,11,45,339,567,26,49,151,27,14,83,260,120,,,,2608
M1502,東華三院李東海小學,TWGHs Leo Tung-hai Lee Primary School,836,100,133,264,14,51,216,130,63,34,89,7,65,41,334,71,,,,2448
M1601,天水圍循道衛理中學,Tin Shui Wai Methodist College,838,301,121,345,19,75,231,243,42,66,172,38,58,60,777,158,,,,3544
M1701,香港普通話研習社科技創意小學,Xianggang Putonghua Yanxishe Primary School of Science and Creativity,684,408,173,411,20,68,354,380,57,84,191,35,42,64,825,194,,,,3990
M1801,宣道會葉紹蔭紀念小學,Christian Alliance S Y Yeh Memorial Primary School,765,413,281,404,17,78,271,188,55,42,137,26,277,50,580,216,,,,3800
M1901,順德聯誼總會伍冕端小學,STFA Wu Mien Tuen Primary School,447,1442,176,519,27,100,339,158,37,53,113,14,251,58,615,165,,,,4514
M2001,元朗公立中學校友會英業小學,YLPMS Alumni Assn. Ying Yip Primary School,607,691,295,458,32,115,287,209,93,50,150,22,139,67,594,196,,,,4005
M2101,天晴社區會堂,Tin Ching Community Hall,451,822,135,302,25,72,258,222,58,58,734,24,80,54,338,151,,,,3784
M2201,香港管理專業協會羅桂祥中學,The Hong Kong Management Association K S Lo College,1096,203,422,414,42,103,1118,586,80,201,348,55,44,217,350,230,,,,5509
M2301,天水圍官立中學,Tin Shui Wai Government Secondary School,835,132,180,467,21,65,426,165,33,62,265,19,37,88,378,93,,,,3266
M2302,道慈佛社楊日霖紀念學校,BTCFS Yeung Yat Lam Memorial School,658,125,114,628,25,62,279,165,19,56,179,26,53,50,319,132,,,,2890
M2401,天耀社區中心,Tin Yiu Community Centre,1658,149,182,520,40,78,462,212,33,65,229,25,61,73,510,80,,,,4377
M2501,裘錦秋中學 (元朗),Ju Ching Chu Secondary School (Yuen Long),767,174,256,398,28,99,703,375,50,156,263,38,39,170,424,246,,,,4186
M2601,香港青年協會李兆基小學,HKFYG Lee Shau Kee Primary School,396,129,177,324,17,79,438,972,52,76,180,37,26,85,320,184,,,,3492
M2701,港澳信義會黃陳淑英紀念學校,HKMLC Wong Chan Sook Ying Memorial School,543,92,265,251,19,60,1002,417,71,557,191,54,24,221,183,323,,,,4273
M2801,惇裕學校,Tun Yu School,188,15,32,70,11,18,84,40,76,17,30,6,136,11,56,33,,,,823
M2802,福興里新圍青年中心,Fuk Hing Lei San Wai Youth Centre,453,43,155,152,29,43,457,213,79,144,113,37,112,95,123,133,,,,2381
M2901,聖公會錦田聖約瑟小學,SKH Kam Tin St. Joseph's Primary School,165,52,92,186,18,28,270,129,78,63,100,29,608,50,139,119,,,,2126
M3001,台山公立學校 (舊址),Toi Shan Public School (Former),717,52,53,127,20,33,247,113,43,28,96,16,243,35,115,135,,,,2073
M3101,八鄉中心小學 (石湖塘),Pat Heung Central Primary School (Shek Wu Tong),1388,79,158,314,26,64,507,240,80,88,125,37,182,92,248,208,,,,3836
,,,,,,,,,,,,,,,,,,,,,,
S,葵青區,KWAI TSING DISTRICT,,,,,,,,,,,,,,,,,,,,
S0101,中華傳道會許大同學校,CNEC Ta Tung School,33,259,41,273,5,78,445,235,44,82,1104,266,18,247,232,214,,,,3576
S0102,聖公會仁立小學,SKH Yan Laap Primary School,13,164,8,152,5,25,129,60,18,19,499,177,15,120,115,72,,,,1591
S0201,基督教香港信義會葵盛信義學校,ELCHK Kwai Shing Lutheran Primary School,52,273,31,407,12,99,389,159,335,81,1499,1235,45,347,346,222,,,,5532
S0301,仁愛堂彭鴻樟幼稚園,Yan Oi Tong Pang Hung Cheung Kindergarten,30,301,25,236,7,51,249,149,64,45,380,292,24,652,232,184,,,,2921
S0401,佛教林炳炎紀念學校,Buddhist Lam Bing Yim Memorial School,34,590,45,404,13,75,452,185,48,62,530,497,54,773,367,213,,,,4342
S0501,中華基督教會全完中學,CCC Chuen Yuen College,33,204,21,292,2,68,218,113,51,41,1425,378,62,184,224,186,,,,3502
S0601,中華基督教會全完幼稚園,CCC Chuen Yuen Kindergarten,39,175,20,192,4,41,175,106,29,54,835,329,29,114,135,172,,,,2449
S0701,聖公會主愛小學,SKH Chu Oi Primary School,66,301,49,422,9,96,535,269,133,82,884,612,137,761,416,347,,,,5119
S0801,慈幼葉漢小學,Salesian Yip Hon Primary School,24,1150,37,349,11,53,392,216,41,59,533,237,26,792,305,261,,,,4486
S0901,石籬 (一) 邨室內活動室,Shek Lei (I) Estate Indoor Activity Room,30,212,34,365,12,99,427,502,65,83,413,430,43,1066,396,292,,,,4469
S1001,石籬社區會堂,Shek Lei Community Hall,42,234,44,426,11,135,392,255,55,62,385,532,102,1350,470,349,,,,4844
S1101,香港聖公會麥理浩夫人中心,HKSKH Lady MacLehose Centre,44,168,48,346,8,82,499,248,54,93,383,730,49,560,290,269,,,,3871
S1201,佛教林金殿紀念小學,Buddhist Lim Kim Tian Memorial Primary School,31,172,22,348,5,66,377,155,81,54,2878,457,24,272,245,265,,,,5452
S1301,華景山莊北停車場地下會議室,Wonderland Villas Car Park Underground Conference Room,67,30,60,89,4,18,469,189,23,64,88,125,6,155,40,132,,,,1559
S1302,迦密愛禮信中學,Carmel Alison Lam Foundation Secondary School,5,15,19,51,1,10,105,61,7,21,45,49,1,70,37,68,,,,565
S1303,東華三院高可寧紀念小學,TWGHs Ko Ho Ning Memorial Primary School,14,213,16,175,7,44,239,90,344,36,211,212,12,226,145,112,,,,2096
S1401,中華基督教會基真小學,CCC Kei Chun Primary School,64,128,67,374,6,86,553,208,46,107,313,711,48,994,244,331,,,,4280
S1501,香港四邑商工總會陳南昌紀念中學,The HKSYC & IA Chan Nam Chong Memorial College,61,218,55,355,8,68,755,305,171,156,495,392,11,580,332,308,,,,4270
S1601,葵芳社區會堂,Kwai Fong Community Hall,49,177,60,359,2,95,860,223,75,123,907,860,20,709,293,247,,,,5059
S1701,荔景社區會堂,Lai King Community Hall,49,223,32,317,20,72,465,236,104,69,519,306,27,709,349,319,,,,3816
S1801,葵盛社區會堂,Kwai Shing Community Hall,39,1148,34,417,9,111,535,173,113,64,672,355,53,388,274,217,,,,4602
S1901,地利亞(閩僑)英文小學,Delia (Man Kiu) English Primary School,47,216,24,340,14,78,448,206,445,52,329,400,39,400,365,265,,,,3668
S1902,中華基督教會燕京書院,CCC Yenching College,59,254,86,340,7,61,1005,540,91,159,460,331,136,578,340,352,,,,4799
S2001,聖公會青衣邨何澤芸小學,SKH Tsing Yi Estate Ho Chak Wan Primary School,57,1037,97,294,5,58,1034,486,59,147,358,214,15,548,272,181,,,,4862
S2101,荃灣商會學校,Tsuen Wan Trade Association Primary School,55,590,54,385,13,92,656,435,62,84,468,347,76,592,364,290,,,,4563
S2201,東華三院吳祥川紀念中學,TWGHs S. C. Gaw Memorial College,29,97,15,96,1,26,176,146,28,30,101,172,8,84,49,94,,,,1152
S2202,保良局世德小學,PLK Castar Primary School,44,469,88,360,6,63,1038,1282,82,165,522,217,30,571,335,185,,,,5457
S2301,長青社區中心,Cheung Ching Estate Community Centre,14,152,19,192,4,31,207,119,60,27,172,206,226,214,197,137,,,,1977
S2302,美景花園社區中心,"Community Centre, Mayfair Gardens",36,280,27,245,7,51,403,214,236,82,319,214,67,375,170,194,,,,2920
S2401,青衣商會小學,Tsing Yi Trade Association Primary School,26,173,18,242,3,46,239,157,36,38,220,422,533,249,270,158,,,,2830
S2402,青衣商會幼稚園,Tsing Yi Trade Association Kindergarten,28,154,29,228,5,49,345,210,52,65,305,246,80,259,186,156,,,,2397
S2501,樂善堂梁植偉紀念中學,Lok Sin Tong Leung Chik Wai Memorial School,29,183,29,348,11,91,395,193,21,65,324,1156,155,359,315,176,,,,3850
S2601,藍澄會,Rambler Club,11,34,16,66,2,16,221,86,11,42,90,101,8,78,57,50,,,,889
S2602,聖公會青衣主恩小學,SKH Tsing Yi Chu Yan Primary School,23,80,18,206,7,54,173,116,30,26,126,1411,52,234,192,63,,,,2811
S2701,長亨社區會堂,Cheung Hang Community Hall,60,530,41,353,3,62,517,283,265,84,282,601,76,1102,342,249,,,,4850
S2801,長發社區中心,Cheung Fat Estate Community Centre,36,195,30,329,10,55,542,238,87,79,419,237,199,501,338,281,,,,3576
S2901,中華傳道會呂明才小學,CNEC Lui Ming Choi Primary School,37,239,40,432,5,94,502,280,117,68,454,1015,48,584,364,251,,,,4530
,,,,,,,,,,,,,,,,,,,,,,
T,離島區,ISLANDS DISTRICT,,,,,,,,,,,,,,,,,,,,
T0101,中華基督教會大澳小學,CCC Tai O Primary School,404,21,6,43,4,6,48,25,9,14,103,3,23,26,19,25,,,,779
T0104,醫療輔助隊東涌訓練中心,Auxiliary Medical Service Tung Chung Training Centre,216,37,11,35,3,7,76,10,4,8,25,4,13,26,25,24,,,,524
T0107,梅窩體育館,Mui Wo Sports Centre,410,31,13,246,2,23,178,34,7,27,77,16,47,75,61,32,,,,1279
T0109,杯澳公立學校,Bui O Public School,91,18,9,47,1,5,55,10,6,6,15,3,150,24,21,14,,,,475
T0201,東涌天主教學校,Tung Chung Catholic School,46,1292,55,360,12,76,394,135,47,55,141,257,171,519,316,202,,,,4078
T0301,香港教育工作者聯會黃楚標學校,HKFEW Wong Cho Bau School,41,754,34,482,6,98,486,112,27,53,184,532,208,378,344,223,,,,3962
T0401,東涌社區會堂,Tung Chung Community Hall,117,151,108,287,11,57,1011,487,185,144,192,441,19,284,210,300,,,,4004
T0501,香港教育工作者聯會黃楚標中學,HKFEW Wong Cho Bau Secondary School,54,305,79,436,10,98,967,380,41,139,343,859,34,358,437,267,,,,4807
T0601,聖公會偉倫小學,SKH Wei Lun Primary School,33,27,87,145,3,16,691,211,41,89,100,90,4,195,89,157,,,,1978
T0701,坪洲體育館,Peng Chau Sports Centre,144,43,27,149,9,16,192,34,10,44,494,21,368,85,64,137,,,,1837
T0801,南丫島北段鄉事委員會,Lamma Island (North) Rural Committee,360,25,25,93,2,23,300,58,26,21,69,9,5,45,61,42,,,,1164
T0901,佛教慧因法師紀念中學,Buddhist Wai Yan Memorial College,44,28,17,118,4,20,220,53,47,62,108,578,170,106,116,69,,,,1760
T0902,明愛陳震夏郊野學園(分教處),Caritas Chan Chun Ha Field Studies Centre (Extension),21,11,18,59,1,14,218,46,23,74,60,212,47,48,52,36,,,,940
T1001,長洲體育館,Cheung Chau Sports Centre,25,15,17,63,0,11,204,47,23,38,52,358,72,90,43,49,,,,1107
T1002,國民學校,Kwok Man School,19,24,20,72,2,15,205,38,28,28,59,605,63,60,71,42,,,,1351
